fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop,per_dem_2016,per_gop_2016
47059,TN,69087,328,4.6,44366,23.9,7.9,23.9,15.3,253.1,0.179260142182,0.78915329275
47061,TN,13346,12,4.4,36317,27.8,7.9,23.2,12.1,253.1,0.210105263158,0.763368421053
47063,TN,64569,458,3.8,44040,24.2,8.1,24.6,16.1,253.1,0.198017396375,0.769668108266
47065,TN,364286,3154,3.4,57196,18.1,9.2,25.8,31.2,253.1,0.391670446813,0.557531469721
47067,TN,6549,-35,5.1,30691,41.1,6.8,23.2,11.5,253.1,0.144459398834,0.826379542396
47069,TN,25220,-181,5,37834,28.8,8.7,26.1,11.4,253.1,0.451633845488,0.531486691192
47071,TN,25776,-7,4.4,37690,29.3,9.1,25.9,13.9,253.1,0.163031460448,0.805307066037
47073,TN,56530,60,4,42188,27.6,7.6,23.9,14,253.1,0.169227795496,0.802696433749
47075,TN,17335,-261,5.4,39574,30.8,8.4,26.2,12.6,253.1,0.542790152403,0.441090269637
47077,TN,27847,121,4.7,43491,23.2,8.4,25.7,13.8,253.1,0.176563114432,0.798073141958
47079,TN,32358,-62,4.2,43159,29.4,7.3,25.5,17.1,253.1,0.237526189183,0.735857841235
47081,TN,25063,215,3.2,44684,24.2,8.5,25.1,11,253.1,0.234862148931,0.732414326205
47083,TN,8263,90,5.5,44688,25.2,7.9,25.5,10.6,253.1,0.273301737757,0.6887835703
47085,TN,18486,37,4.3,48056,20.3,8.1,25.4,13.3,253.1,0.275528785544,0.690292758089
47087,TN,11758,81,4.7,37563,29.6,8.3,24.9,9,253.1,0.253879019564,0.726107488194
47089,TN,54012,280,3.8,49611,20.9,8.6,25.2,16.4,253.1,0.18374223439,0.777087501316
47091,TN,17778,137,3.5,35778,27.9,5.6,20.9,11.3,253.1,0.150701647346,0.823672971324
47093,TN,465289,4357,2.9,55874,15.2,8.1,25.2,36.7,253.1,0.350657681881,0.589760467685
47095,TN,7411,-48,5.2,33709,41.2,6.7,25.6,10.4,253.1,0.292893401015,0.68883248731
47097,TN,25825,-283,5.8,38849,34.6,7.9,26.4,8.8,253.1,0.421295229316,0.562802489053
47099,TN,43734,407,4,43651,24.7,9.2,25.2,12.5,253.1,0.180163494699,0.793140886448
47101,TN,12086,64,4.4,40541,24.8,8.8,25.1,11.5,253.1,0.19343620952,0.777874375136
47103,TN,34117,284,3.1,51249,18.4,9.3,25.1,18.8,253.1,0.192162773173,0.781838733986
47105,TN,53054,879,3.4,58186,16,8.4,25.4,26.3,253.1,0.210950909715,0.754720219705
47107,TN,53285,390,4.1,46029,21.8,9,25.8,15.8,253.1,0.187600299561,0.784904247352
47109,TN,25832,-157,5.4,39859,22.3,8.6,26,12.7,253.1,0.184055804684,0.781165919283
47111,TN,24265,373,3.2,42265,26,7.7,24.6,10,253.1,0.142990654206,0.835781041389
47113,TN,97605,19,3.8,46651,28.9,8.4,25.8,25.9,253.1,0.408802033683,0.564585319352
47115,TN,28575,157,4.7,50819,23.5,8.8,24.4,11.6,253.1,0.261170605613,0.709010339734
47117,TN,33683,749,3.4,51868,19.9,9.1,25.3,14.3,253.1,0.249780740221,0.716277845992
47119,TN,94340,2120,3.2,57337,15.2,8.7,25.2,21.8,253.1,0.285901676742,0.678139614463
47121,TN,12306,250,4.5,50565,26.6,9,25.7,10.5,253.1,0.198561818604,0.774066341916
47123,TN,46357,259,3.7,45566,23,8.2,24.6,12.8,253.1,0.186744868035,0.783636363636
47125,TN,205950,5935,3.8,56102,16.6,8.3,25.6,27.2,253.1,0.378609588324,0.564265512064
47127,TN,6411,48,3,58234,14.1,9.1,25,20.7,253.1,0.16951469583,0.794600136705
47129,TN,21579,65,4.5,40397,26.9,7.3,23.6,7.3,253.1,0.158013205282,0.814675870348
47131,TN,30267,-136,4.9,42532,25.6,6.6,25.2,14.9,253.1,0.198396465679,0.779268591999
47133,TN,22068,78,3.8,42149,20.8,7.9,24,13.1,253.1,0.237095790116,0.738865161684
47135,TN,8064,102,4.3,41960,26.4,8.7,25.6,11.5,253.1,0.209106830123,0.759019264448
47137,TN,5082,19,3.8,40182,24.3,7.9,24.3,8.7,253.1,0.205442698352,0.773859716366
47139,TN,16898,133,4.2,41968,22.4,8.7,24.9,11,253.1,0.192024539877,0.781748466258
47141,TN,78843,1477,3.6,45512,18.7,8.1,24.2,25.4,253.1,0.253987684546,0.704095259292
47143,TN,33044,302,5.6,44132,27.2,8.4,24.9,15.2,253.1,0.17741640782,0.790243011146
47145,TN,53140,208,4.1,54440,22,8.3,25.2,19.5,253.1,0.223957367933,0.735078776645
47147,TN,71012,858,3.1,66006,15.4,7.9,25.4,18.6,253.1,0.245322091561,0.717143702389
47149,TN,324890,8213,2.7,64170,11.8,8.8,25.6,32,253.1,0.343857376218,0.604855517377
47151,TN,22039,54,4.3,35685,26.6,6.8,23.1,9.4,253.1,0.131124526183,0.848518882493
47153,TN,14876,124,4.3,49707,25.6,8.2,24,14.6,253.1,0.185459678842,0.782424563261
47155,TN,97892,615,3.5,47202,23,7.9,23.4,17.1,253.1,0.173935876175,0.790768380321
47157,TN,935764,-209,4.2,47924,33.2,8.9,27,31.1,253.1,0.622670334869,0.346373933665
47159,TN,19942,292,3.1,50704,18.8,8.3,25.1,12.4,253.1,0.227800269906,0.740215924426
47161,TN,13561,193,5,46565,22.2,7.8,25.6,14.9,253.1,0.231307968957,0.731402612152
47163,TN,157668,717,3.7,46024,24.6,7.5,23.5,22.8,253.1,0.198964249916,0.761393250919
47165,TN,187149,3565,2.8,66171,11.7,8.1,25.4,26.9,253.1,0.255388294879,0.704909960608
47167,TN,61581,270,4.2,60874,18.5,8.4,26.7,16.7,253.1,0.247261680644,0.722787951395
47169,TN,11012,157,3.3,49280,20.5,8.2,25.3,16.8,253.1,0.300127307447,0.668045830681
47171,TN,17761,6,4.9,43688,24.1,5.9,21.3,14.8,253.1,0.175830309796,0.790678202623
47173,TN,19688,281,4.1,40322,27.5,7.2,23.9,8.5,253.1,0.162798194713,0.809800128949
47175,TN,5765,57,4.7,38265,27.7,8,23.8,8.5,253.1,0.223003723624,0.752999586264
47177,TN,40878,188,3.9,42475,35.3,8.6,24.5,14,253.1,0.260597124954,0.70291190564
47179,TN,128607,994,3.5,49242,18,7.6,23.6,32.4,253.1,0.263160025096,0.691728562466
47181,TN,16558,2,4.9,38879,27.6,9.2,25.5,11.2,253.1,0.122731941116,0.861691201643
47183,TN,33415,119,4.2,42351,22.3,7.2,25.3,21.5,253.1,0.228415931393,0.742228086089
47185,TN,27107,363,3.7,42603,24.6,8.2,24.2,13.5,253.1,0.188420621931,0.783244680851
47187,TN,231729,5809,2.5,115930,3.5,8.5,25.4,59,253.1,0.296007640879,0.65100286533
47189,TN,140625,4085,2.8,76507,9.9,8.4,25.5,30.6,253.1,0.25505454287,0.69829087162
48001,TX,58057,-155,3.1,45969,22.6,11.9,29.8,11.7,224.8,0.198851187304,0.779593770356
48003,TX,18128,497,2.4,84946,14,9.3,29.7,10.4,224.8,0.169711733658,0.796792529436
48005,TX,87092,-619,4.4,46653,26.7,12.1,29.1,16.3,224.8,0.252360227653,0.725343153666
48007,TX,23792,-1655,5.7,46912,34.7,15.6,30,21.7,224.8,0.234833285564,0.738511512372
